,2020,2015-2019,change,smoothed change
2020-06-09,10.09554854368932,10.965049683410722,0.07929751025541554,0.07218161143201521
2020-06-10,10.124674757281552,10.927903208104686,0.07350252244432576,0.06928384463405211
2020-06-11,10.15281207253886,10.902450207253887,0.0687586845584729,0.06640797113607805
2020-06-12,10.18084316062176,10.878253316062176,0.06411049045995842,0.06357058838207216
2020-06-13,10.217069330289192,10.863938013698629,0.05954274431553119,0.06078852986351287
2020-06-14,10.253522907153728,10.84989691780822,0.05496586881628773,0.05807868348625542
2020-06-15,10.290387327618337,10.832148937756243,0.05001423200982369,0.05545781120931249
2020-06-16,10.328031755497577,10.807363250093179,0.04435230717274807,0.05294235594940587
2020-06-17,10.365676183376817,10.782577562430117,0.03866435243701982,0.05054820261444812
2020-06-18,10.35545418326693,10.716791500664009,0.033716930797309086,0.04829037456579272
2020-06-19,10.28836162962963,10.497356666666668,0.01990930132922719,0.04618271673205908
2020-06-20,10.204213481481482,10.394023333333335,0.01826144176943867,0.04423746636375836
2020-06-21,10.122659893617021,10.34672840425532,0.0216559768347786,0.04246443308313532
2020-06-22,10.041205992907802,10.301586560283688,0.025275773382300804,0.04087090982793678
2020-06-23,9.970789565217391,10.262820869565218,0.028455266642513077,0.03946210924477669
2020-06-24,9.966520790513835,10.262267509881424,0.028818847207288,0.03824167389251627
2020-06-25,10.067699134948098,10.286200692041522,0.02124220240642194,0.0372120954593726
2020-06-26,10.236249380530975,10.325363539823009,0.008630607430754167,0.036374787725064466
2020-06-27,10.363187149187594,10.371838109305761,0.0008340816764585979,0.035729480191228784
2020-06-28,10.447455982274743,10.42021329394387,-0.002614407936035734,0.03527320472285993
2020-06-29,10.53172481536189,10.46858847858198,-0.006031026714736543,0.03499957261978124
2020-06-30,10.507148637092463,10.475560823089257,-0.0030153816618183615,0.03489840352850606
2020-07-01,10.41591400320684,10.44124762159273,0.002426301846677692,0.03495551796571807
2020-07-02,10.318579659848309,10.415229694323145,0.00927968343583585,0.03515298249009795
2020-07-03,10.197297196046884,10.421779912663755,0.021539767534727527,0.035469631604645724
2020-07-04,10.07601473224546,10.428330131004367,0.033784450082898876,0.03588180035780694
2020-07-05,9.954732268444035,10.434880349344978,0.04601376008408975,0.03636442882343753
2020-07-06,9.83344980464261,10.44143056768559,0.05822772646926122,0.03689224588870897
2020-07-07,9.741476032388663,10.433431578947367,0.06632099336856112,0.037440944461450465
2020-07-08,9.684372164674635,10.402229057104913,0.06900991013459457,0.037988282177672944
2020-07-09,9.645753306772907,10.358191872509959,0.06878020551326369,0.0385148149082795
2020-07-10,9.60713444887118,10.314154687915007,0.06854853940403227,0.03900415269544663
2020-07-11,9.568515590969454,10.270117503320053,0.06831488657493834,0.03944293301037715
2020-07-12,9.541010800744878,10.255455493482309,0.06966484259928618,0.03982074886801335
2020-07-13,9.521399430573807,10.2505329391152,0.07113127803912311,0.04013010817969657
2020-07-14,9.520567192290846,10.260213184406483,0.072088754767762,0.040366506647189285
2020-07-15,9.519734954007884,10.269893429697767,0.07304442649040799,0.04052853313192243
2020-07-16,9.59610406643757,10.2910127720504,0.0675257840025375,0.040617950246964865
2020-07-17,9.67585778923253,10.312633619702178,0.06174715925649621,0.040639665814160564
2020-07-18,9.755611512027489,10.334254467353952,0.055992714051546155,0.040601275502836515
2020-07-19,9.853362385762383,10.359024627224628,0.04881369237537192,0.040512487347655585
2020-07-20,9.971736604136604,10.387403655603656,0.040016453124242846,0.04038452577580014
2020-07-21,10.096773543307087,10.417080393700788,0.030748236385637395,0.04022941909793898
2020-07-22,10.219960294117648,10.449277205882353,0.021945720000194124,0.040059151415849224
2020-07-23,10.249535457516341,10.484979820261438,0.022455394934582373,0.03988476663337247
2020-07-24,10.279110620915032,10.520682434640523,0.02296161063944757,0.03971565241739261
